Time Flux
1509.305876 256833.156250
1509.326309 256823.875000
1509.346743 256821.578125
1509.367176 256753.953125
1509.387609 256776.109375
1509.408042 256761.890625
1509.428476 256733.156250
1509.448909 256739.750000
1509.469342 256703.359375
1509.489776 256720.281250
1509.510209 256710.859375
1509.530642 256672.000000
1509.551076 256661.750000
1509.571509 256641.656250
1509.591942 256620.437500
1509.612375 256567.500000
1509.632809 256537.406250
1509.653242 256480.328125
1509.673675 256480.468750
1509.714542 256481.328125
1509.755408 256445.750000
1509.775842 256429.031250
1509.816708 256370.656250
1509.857575 256365.703125
1509.878008 256343.218750
1509.898442 256232.546875
1509.918875 256207.609375
1509.939308 256215.671875
1509.959741 256254.750000
1509.980175 256185.734375
1510.000608 256184.328125
1510.021041 256166.359375
1510.061908 256161.281250
1510.082341 256135.765625
1510.102775 256106.156250
1510.123208 256088.750000
1510.143641 256038.781250
